DESCRIPCION,CODIGO
SUNSET RED/CELESTE TANGLED GARDEN,0452
BLACK/JADEREDTANGLEDGARDEN,0453
RENNAISSANCE MIDNIGHT POTTERY,0454
RENNAISSANCE VICTORIAN RED,0455
ELEPHANT/ECRU,0456
COFFEE MOCHA,0457
COOPERTAN/CELESTE,0458
COPPERTAN/CELESTE,0459
JADE,0460
OASIS GREEN SUCULENTA,0461
CERULEAN PAPAYA,0462
RED LILAC,0463
FLAMINGO/RED/CELESTE TRIBAL GARDEN,0464
GUAYABA/JADE AMAZONIA MINI PRINT,0465
JADE/TANGERINE,0466
DARK JADE,0467
SMOKY BLUE,0468
DANDELION/ROSEWOOD,0469
COPPERTAN/CINNAMON,0470
ECRU CAMPARI,0471
ORANGE,0472
MOCCA,0473
LEOPARD CLASSIC,0474
IVORY DOTS,0475
DANDELION/DARK VERDE JADE,0476
DARK GRAY,0477
ANTIQUE COPPER,0478
MOSSOLDROSE COQUEL,0479
NAVY RUST,0480
RED ATARDECER STRIPES,0481
MIDNIGHT/IVORYTANGLEDGARDEN,0482
ECRU/MERLOT/TANGLED GARDEN,0483
PINK/MERLOT/REDTRIBALGARDEN,0484
LILACC MASAI PRINT,0485
OFF WHITE/YELLOW,0486
ECRU/KILIM BEIGE,0487
JADE CAMEL,0488
DUSKGREY,0489
SMOKY ROSE,0490
OPPER,0491
RUST COPPER,0492
SAPHIRE/ECRU,0493
JADE/OFF WHITE,0494
JADECABERPLACOQ,0495
CELESTEMAGENTACOQU,0496
NAVYBLACK,0497
MIDNIGHT/OFF WHITE,0498
PEWTERCELESTECOQUE,0499
MOSS/GOLD,0500
TEALOLDROPLCO,0501
FIESTA RED,0502
TAMARINDO RED,0503
CHILI RED,0504
AMANECER RUST/WESTERN WHITE STRIPES,0505
NIGHT BLACK/ECRU TARTAN DOTS,0506
WESTERN WHITE SUCULENTAS,0507
IVORY/BLACK ETHNIC DOTS,0508
IVORY LIFE IN THE TROPICS,0509
PECAN BLUSH,0510
DEEPSTONE/PINK,0511
MIDNIGHT BLUE TROPICAL CHINOISERIE,0512
VICTORIAN CEREZO/ALMOND,0513
MAGENTA/VANILLA ACACIA TREE PRINT,0514
FLAMINGO TROPICS,0515
PEACH/CELESTE ACACIA TREE PRINT,0516
RUBY RED,0517
JADE/IVORY STRIPES,0518
SEQUIN,0519
MALVA FLORAL,0520
NAVY WITH NUDE PIPING,0521
PAISLEY DUSK PEACH,0522
RENNAISSANCE FOREST,0523
RENAISSANCE/VICTORIAN RED,0524
NUDE/MAGENTA,0525
TANGERINE SAND,0526
ECRU/DARK JADE,0527
ECRU NUDE,0528
ECRU/NUDE,0529
MEDITERRANEAN BLUE,0530
SUNBURN,0531
DARK MAGENTA,0532
ECRU/NAVY,0533
POMEGRANATE/TUMERIC,0534
ANIS/CHILLI PEPPER,0535
POMEGRANTE/SALMON,0536
SOFT NUDE SALMON,0537
BLACK/PEWTER,0538
BEIGE MOLES,0539
RUST BRANCHES,0540
TURQUESA,0541
RED WINE,0542
ECRU WET,0543
NAVY/ACQUA MA,0544
NAVY W/RED MA,0545
WITHOUTPEPRED,0546
PINK/RED MAN,0547
DESERT MIST/MONK ORANGE,0548
CELESTE/BLACK,0549
BLACK/WHITE,0550
GUAYABA JADE,0551
CELESTE MASAI PRINT,0552
JADE MASAI PRINT,0553
IVORY/BLACK,0554
TANGERINE LILACC,0555
ARENA,0556
PALO DE ROSE,0557
RAYAS FALLA,0558
JADECABERNPLACOQU,0559
ECRU/AZUL,0560
ECRU WETLAND,0561
OFFWBLAC,0562
OLIVE GREEN/ECRU,0563
SUNNY YELLOW/WHITE MAXI TANGLED GARDEN,0564
CABERNET/OFF WHITE STRIPES,0565
CHERRY LILIESANDFEAT,0566
CAMEL/DANDELION,0567
CAMEL/NARANJA,0568
MIDNIGHT BLUE,0569
STRIPES GREEN,0570
CAMEL/NATURAL,0571
LEOPARD/CERULEAN,0572
RED FLOWER,0573
BRONZE,0574
RED/ECRU,0575
BLUE/GRAY,0576
NAVY ECRU,0577
NO ESPECIFICA COLOR,0578
YELLOW,0579
BLACK/BURGUNDY,0580
ANIS,0581
CAMEL/BLACK,0582
SAPPHIRE/OFF WHITE,0583
DARK JADE/ECRU,0584
CHERRYPRINTEDLYCRA,0585
MEDIA NOCHE NAVY OLD ROSE,0586
ABSINTHE TROPICAL CHINOISERIE,0587
BLACK/JADE/RED TANGLED GARDEN,0588
MIITAR ROSE,0589
REDCOLD COQUEL,0590
WESTERN WHITE/NAVY DESERT TILES,0591
MINI BAG,0592
ACQUA/RUSTWET,0593
OFF WHITE/ECRU/BLACK,0594
SAND PUNCH,0595
CINAMMON/ECRU,0596
CERULEAN/PAPAYA,0597
GUAYABA/JADE,0598
ALLCOLORFLOWER,0599
BURNTUMPER,0600
CACATUA PALE ROSE,0601
MILIGREEBLA,0602
AZAFRAN,0603
OLDROSEREDCHINOSERIE,0604
Red/LILACc,0605
ABSINTHE/MERLOT TRIBAL GARDEN,0606
MAGENTA/VANILLA AMAZONIA PRINT,0607
MARSALA/PEARL,0608
DANDELION OFF WHITE,0609
DANDELION DARK JADE,0610
CAMEL/ANIS,0611
ECRU ANIS,0612
ECRU/SANGRIA,0613
SUNLIGHT/NUDE,0614
GREEN MENTA,0615
LAND,0616
MINT WETLAND,0617
NUDE WETLAND,0618
EMERALDOFFWH,0619
BLANCO/VERDE JADE,0620
BROWN SUGAR,0621
NATURAL/PINK,0622
ECRU/GREEN,0623
EARTH STRIPES,0624
MOROCCAN BLUE,0625
MOROCCAN BLUE BIRD,0626
CAMEL/CHOCOLATE,0627
BABY BLUE,0628
CHOCOLATE/AFTER RED SALSA,0629
BITTERSWEET ROSE/ECRU,0630
BLACK/LILA,0631
BLACK/PLATEADO,0632
ECRU/BLACK,0633
CHOCOLATE/DEEP RUST,0634
RENAISSANCE MIDNIGHT POTTERY,0635
GRAY BELTNECTARINE,0636
CHILI RED/WESTERN WHITE PLAID,0637
DIJON/BLACK,0638
CHOCOLATE/AFTER SALSARED,0639
BLACK/MULTICOLOR,0640
WHISKEY,0641
DELIRIOS MAÑANEROS,0642
BLACK/COBRE,0643
BROWN CLUTH,0644
OFF WHITEPRINLYCR,0645
DEEP RUST,0646
ALLCOLOPLC,0647
BLACK/SUMMER MUSTARD,0648
AZUL/PLATEADO,0649
PINK SALT/MULTICOLOR,0650
ECRU/PACIFICOBLUE,0651
ECRU/DELIRIUM GREEN,0652
BUBBLE RUM,0653
BUBBLE,0654
TOBACCO/SALSADISCORED,0655
ECRU/FRESH LIMONADE,0656
MINT/FRESH LIMONADE,0657
BUBBLE RUM/CHOCOLATE,0658
AZUL/ECRU,0659
MIDNIGHT NAVY,0660
SPEAK AFTER SALSA,0661
CAMEL/ORANGE,0662
BLACK/LILAC,0663
RUBY SANGRIA,0664
NECTARINE ECRU,0665
PALMS,0666
MENSHIRTBLUEPINESTRIPE,0667
ECRU/MULTICOLOR,0668
CHEST NUT/ECRU,0669
ANIS/RUBY,0670
CHILI RED/WESTERN STRIPES,0671
AQUA/COCO DE MER,0672
AZUL/COBRE,0673
GUAYABA/JADE AMAZONIA PRINT,0674
CELESTE/WHITE AMAZONIA MINI PRINT,0675
FISTA RED,0676
MOROCCAN BLUE ECRU,0677
LILACC,0678
LILACC FLOWER,0679
BLUE MEN´S SHIRT PLAID,0680
MEN¨S´SHIRT STRIPES,0681
WHITE/SUNSET RED MAXI TANGLED GARDEN,0682
ANIMAL PRINT,0683
DANDELION/PEARL,0684
CAMEL/ECRU,0685
ECRU/PALOSANTO,0686
CHESNUT/GARDENJADE,0687
VANILLA/PEACH/NOUGAT,0688
GARDEN JADE/COPPER TAN,0689
MALDIVES BLUE SUNBURN,0690
ECRU/MOROCCAN BLUE,0691
ROSEWOOD,0692
ROSERY/ECRU/NECTARINE,0693
CHESNUT/CAMPARI,0694
ECRU/CHESNUT,0695
GARDEN JADE/OFF WHITE,0696
OASIS GREEN/ECRU STRIPES,0697
FLORAL,0698
MONK ORNAGE/CAMEL,0699
SOFT PEACHNOUGAT,0700
NIGHTS IN CALI BLACK/ECRU,0701
COCO DE MER/ECRU,0702
ECRU/DANDELION,0703
ECRU/BLACK DOTS,0704
MARSALLA,0705
ZEBRA TRIBAL GARDEN,0706
ECRU/NIGHTS IN CALI BALCK,0707
ECRU/CAMEL,0708
MAUVE/WHITE AMAZONIA MINI PRINT,0709
DANDELION/DARK JADE,0710
PUNCH JADE,0711
DESERT MIST/SOFT PEACH,0712
MONK ORANGE/ECRU,0713
ECRU/BURNT UMBER,0714
CINNAMON/ECRU,0715
DESERT MIST/ECRU,0716
ORANGE/CELESTE,0717
MALVA FLORAL PRINT,0718
BLACK/TOURMALINE,0719
COPPERTAN/ECRU,0720
MOROCCAN BLUE/ECRU,0721
MONK ORNAGE/ECRU,0722
ROSECABERNETCO,0723
CELESTE RUST,0724
ECRU/BLUE,0725
ECRU/CAMPARI,0726
ECRU/CHILI PEPPER,0727
ECRU/CINNAMON,0728
ECRU/COBRE,0729
ECRU/DESERT MIST,0730
ECRU/GRAY,0731
ECRU/HAVANNA RUM,0732
ECRU/NECTARINE,0733
ECRU/POMEGRANATE/TOILE,0734
ECRU/RED,0735
ECRU/ROJO,0736
ECRU/ROSE,0737
ECRU/VERDE JADE,0738
ECRU CHILI PEPPER,0739
ECRU VINOTINTO,0740
FLAMINGO CELESTE,0741
FLOURISH BURNT UMBER,0742
GARDEN VERDE JADE/COPPER TAN,0743
GARDEN VERDE JADE OFF WHITE,0744
GRAY/DANDELION,0745
GRAY/ECRU,0746
GRAY/ROSE/VINOTINTO,0747
GRAY/ROSE/WINE,0748
GRAY/SALMON,0749
GREEN/COPPERTAN,0750
GREEN/GOLD,0751
HONEY/BLACK/MOCCA,0752
HONEY/BROWN PITON,0753
HONEY PITON,0754
HUSBAND BLUE/COCO DE MER,0755
IVORY TROPICAL CHINOISERIE,0756
LAVENDER,0757
LIGHT GREY FLOWER,0758
LILA/PLATEADO,0759
LILA BUGS,0760
LILAC BUGS,0761
MAGIC NUDE/OFF WHITE,0762
MEDIANOCHE NAVY/TARTAN,0763
MENS BLUE/COPPERTAN,0764
MEN SHIRT BLUE,0765
MIDNIGHT BLUE/NUDE,0766
MIDNIGHT BLUE/ROSE,0767
MILITARY TOILE,0768
MONK ORANGE/COCO DE MER,0769
MONK ORANGE/NUDE,0770
MORROCAN BLUE/ECRU,0771
MUSTARD,0772
NARANJA/BLANCO,0773
NATURAL/NAVY,0774
NAVY/PLATEADO,0775
NIGTHS IN CALI BLACK,0776
NIGTHS IN CALI BLACK/CAMEL,0777
NOCHE BLACK,0778
NOCHE BLACK/ECRU TARTAN DOTS,0779
NUDE/BROWN,0780
NUDE/CELESTE,0781
NUDE/LILA,0782
NUDE/MILITARY GREEN/TOILE,0783
NUDE/TORNASOL,0784
OASIS GREEN/ECRU,0785
OFF WHITE/NAVY,0786
OLD ROSE CABERNET,0787
ORANGE/BLACK,0788
ORANGE/GREEN,0789
PAISLEY/DUSK SKY,0790
PALE ROSE BUGS,0791
PEACH,0792
PINK/BLUE,0793
PISTACHIO/NUDE,0794
POMEGRANATE/SALMON,0795
PRINT/TRENZADO,0796
PUNCH/VERDE JADE,0797
RAYAS MOSTAZA,0798
RED/BLACK,0799
RED LILIES,0800
RENAISSANCE/CINNAMON,0801
RENAISSANCE/MARSALA,0802
RENAISSANCE FOREST,0803
RENNAISANCE ROSE,0804
ROJO/COBRE,0805
ROJO/ECRU,0806
ROJO/PLATEADO,0807
ROJO ATARDECER STRIPES,0808
ROSE/BLACK,0809
ROSE/ECRU,0810
ROSE CABERNET,0811
ROSETTE/COPPERTAN,0812
RUBY/SANGRIA,0813
SALMON/BLACK,0814
SANGRIA/CAMEL,0815
SANGRIA RED,0816
SANGRIA RED/CHILI PEPPER RED,0817
SERENADE CAMEL/ECRU,0818
SOFT OLIVE/CHESNUT,0819
SOFT PEACH/NOUGAT,0820
SOFT PINK/OFF WHITE,0821
TERRACOTA/ECRU,0822
TOBACO,0823
TOBACO/ECRU/DESERT,0824
TOILE/ECRU/CHILI PEPPER,0825
TUMERIC,0826
TURMERIC/LILA,0827
VANILLA/CINAMMON,0828
VERDE/ROSE,0829
VERDE/SALMON,0830
VERDE JADE/BLACK,0831
VERDE JADE/NUDE,0832
VERDE JADE/PUNCH,0833
VERDE JADE/SALMON ACACIA TREE PRINT,0834
VINOTINTO/ROJO TORNASOL,0835
WINE/IVORY,0836
WINE/RED,0837
YELLOW/GREEN,0838
YELLOW/VERDE,0839
