,,,,,,POR INGRESAR BD,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,SENTIDO DE,,SESGOS,,,PERMITE GIRAR MOLDE,,TIPO DE RESTRICCION,,,,
,FOTO PRENDA,TIPO PRENDA,CANTIDAD DE TELAS,VARIANTE,TELA,,USO EN PRENDA,BASE TEXTIL,COLOR,ANCHO TELA,CONSUMO,DESCRIPCION,TERMINACION,MOLDES,CANAL DE TELA,AL HILO,A TRAVEZ,AL SESGO,90°,180°,PEINE,BRILLO / VIZOS,GRABADO,,
,,,1,1,1,,LUCIR,LYCRA BAHIA,ALL OVER CON SENTIDO,"1,56","0,23",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,SESGO LUCIR,LYCRA BAHIA,SOLIDO,"1,48","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,SESGO LUCIR,LYCRA BAHIA,SOLIDO,"1,5","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,SESGO LUCIR,LYCRA BAHIA,SOLIDO,"1,54","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,1,1,1,,SESGO LUCIR,LYCRA BAHIA,SOLIDO,"1,56","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,BIKINI BOTTOM - PANTY,2,1,1,,LUCIR,LYCRA SHIMMERING,SOLID CON SENTIDO,"1,2","0,15",LUCIR SHIMMERING Y FORRO (TIRAS EN FORRO),EMBONADO,AL HILO ,AL HILO ,,SI,,NO,NO,SI,NO,,, 
,,,2,1,1,,LUCIR,LYCRA SHIMMERING,MODIFICACION,"1,2","0,37 / 0,28",,,AL HILO ,AL HILO ,,SI,,NO,NO,SI,NO,,,
,,,2,1,1,,LUCIR,,UBICACION,"1,2",,,,,,,,,,,,,,,
,,,2,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,48","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,5","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,54","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,FORRO,LYCRA BAHIA,SOLIDO,"1,56","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,FORRO,LYCRA TABITA,SOLIDO,"1,45","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,FORRO,LYCRA TABITA,SOLIDO,"1,48","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,FORRO,LYCRA TABITA,SOLIDO,"1,5","0,09",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
,,,2,1,2,,SESGO FORRO,LYCRA BAHIA,SOLIDO,"1,48","0,04",,,AL HILO ,AL HILO ,,SI,,SI,NO,NO,NO,,,
